filename,frequency_hz,s21_db,s11_db,attenuation_db,impedance_ohm
sweep_01.s2p,5100045000.0,-10.4247,-5.3626,10.4247,123.0759
sweep_01.s2p,5130043500.0,-10.7258,-6.1914,10.7258,87.1808
sweep_01.s2p,5160042000.0,-12.11,-4.1744,12.11,34.8095
sweep_01.s2p,5190040500.0,-13.1183,-3.0373,13.1183,18.0956
sweep_01.s2p,5220039000.0,-13.4439,-2.5727,13.4439,12.6956
sweep_01.s2p,5250037500.0,-13.0168,-2.6598,13.0168,11.7923
sweep_01.s2p,5280036000.0,-11.9913,-3.7231,11.9913,15.1799
sweep_01.s2p,5310034500.0,-11.2299,-6.4187,11.2299,24.4239
sweep_01.s2p,5340033000.0,-11.9316,-6.4516,11.9316,31.5395
sweep_01.s2p,5370031500.0,-13.1074,-4.396,13.1074,32.097
sweep_01.s2p,5400030000.0,-13.7246,-3.2742,13.7246,31.1491
sweep_01.s2p,5430028500.0,-13.7387,-2.779,13.7387,29.5282
sweep_01.s2p,5460027000.0,-13.1341,-2.778,13.1341,27.3097
sweep_01.s2p,5490025500.0,-11.9723,-3.62,11.9723,24.6491
sweep_01.s2p,5520024000.0,-10.9817,-5.7154,10.9817,22.6533
sweep_01.s2p,5550022500.0,-11.6798,-5.3353,11.6798,23.8072
sweep_01.s2p,5580021000.0,-13.6275,-3.2547,13.6275,23.7139
sweep_01.s2p,5610019500.0,-15.1235,-2.3432,15.1235,24.9599
sweep_01.s2p,5640018000.0,-15.583,-2.0956,15.583,32.546
sweep_01.s2p,5670016500.0,-14.9435,-2.2995,14.9435,50.0146
sweep_01.s2p,5700015000.0,-13.5052,-3.1226,13.5052,73.2759
sweep_01.s2p,5730013500.0,-12.0981,-4.9302,12.0981,89.7806
sweep_01.s2p,5760012000.0,-12.2756,-5.4747,12.2756,105.2801
sweep_01.s2p,5790010500.0,-13.6358,-4.0462,13.6358,125.1978
sweep_01.s2p,5820009000.0,-14.7632,-3.0764,14.7632,152.6072
sweep_01.s2p,5850007500.0,-15.1165,-2.6491,15.1165,202.868
sweep_01.s2p,5880006000.0,-14.6417,-2.6226,14.6417,195.085
sweep_01.s2p,5910004500.0,-13.4842,-3.2224,13.4842,87.4393
sweep_01.s2p,5940003000.0,-12.3137,-4.9038,12.3137,61.505
sweep_01.s2p,5970001500.0,-12.3635,-6.162,12.3635,38.9051
sweep_01.s2p,6000000000.0,-13.3748,-5.1655,13.3748,24.0158
