filename,frequency_hz,s21_db,s11_db,attenuation_db,impedance_ohm
sweep_01.s2p,4890055500.0,-27.6097,-2.7794,27.6097,100.2529
sweep_01.s2p,4920054000.0,-27.8431,-2.6988,27.8431,98.9653
sweep_01.s2p,4950052500.0,-28.286,-2.6008,28.286,99.4196
sweep_01.s2p,4980051000.0,-28.5108,-2.554,28.5108,102.8134
sweep_01.s2p,5010049500.0,-28.5151,-2.608,28.5151,109.4283
sweep_01.s2p,5040048000.0,-28.862,-2.6736,28.862,118.8938
sweep_01.s2p,5070046500.0,-29.1154,-2.6891,29.1154,119.5287
sweep_01.s2p,5100045000.0,-29.1728,-2.7811,29.1728,70.8351
sweep_01.s2p,5130043500.0,-29.4912,-2.901,29.4912,36.9993
sweep_01.s2p,5160042000.0,-29.6282,-2.9257,29.6282,23.4108
sweep_01.s2p,5190040500.0,-29.5877,-2.9699,29.5877,17.9766
sweep_01.s2p,5220039000.0,-29.8232,-3.017,29.8232,16.2168
sweep_01.s2p,5250037500.0,-30.1057,-3.0679,30.1057,16.7489
sweep_01.s2p,5280036000.0,-30.2302,-3.2075,30.2302,19.753
sweep_01.s2p,5310034500.0,-30.5782,-3.4322,30.5782,23.0839
sweep_01.s2p,5340033000.0,-30.6795,-3.5102,30.6795,25.2612
sweep_01.s2p,5370031500.0,-30.3351,-3.5103,30.3351,26.214
sweep_01.s2p,5400030000.0,-30.5705,-3.5279,30.5705,26.1141
sweep_01.s2p,5430028500.0,-31.2323,-3.4917,31.2323,24.9924
sweep_01.s2p,5460027000.0,-31.0237,-3.4541,31.0237,22.8426
sweep_01.s2p,5490025500.0,-30.6342,-3.3916,30.6342,20.6963
sweep_01.s2p,5520024000.0,-31.1187,-3.2583,31.1187,20.2444
sweep_01.s2p,5550022500.0,-32.0706,-3.1473,32.0706,22.4971
sweep_01.s2p,5580021000.0,-31.5207,-3.1127,31.5207,28.8548
sweep_01.s2p,5610019500.0,-30.5463,-3.0625,30.5463,40.992
sweep_01.s2p,5640018000.0,-31.1304,-3.0051,31.1304,65.3167
sweep_01.s2p,5670016500.0,-32.3066,-2.9636,32.3066,103.7887
sweep_01.s2p,5700015000.0,-31.194,-2.9792,31.194,129.4467
sweep_01.s2p,5730013500.0,-30.6392,-2.8717,30.6392,135.2701
sweep_01.s2p,5760012000.0,-32.1504,-2.8594,32.1504,137.7204
sweep_01.s2p,5790010500.0,-32.2718,-2.9327,32.2718,140.4691
sweep_01.s2p,5820009000.0,-30.4752,-3.0245,30.4752,130.2777
sweep_01.s2p,5850007500.0,-31.2935,-3.1453,31.2935,86.1147
sweep_01.s2p,5880006000.0,-33.5937,-3.252,33.5937,50.8263
sweep_01.s2p,5910004500.0,-31.4734,-3.2881,31.4734,33.4471
sweep_01.s2p,5940003000.0,-30.8883,-3.3761,30.8883,24.5559
sweep_01.s2p,5970001500.0,-33.5081,-3.4491,33.5081,19.5972
sweep_01.s2p,6000000000.0,-32.9744,-3.4775,32.9744,16.5417
