filename,frequency_hz,s21_db,s11_db,attenuation_db,impedance_ohm
sweep_01.s2p,4590070500.0,-14.4061,-4.9657,14.4061,41.1197
sweep_01.s2p,4620069000.0,-13.7078,-5.6564,13.7078,40.1615
sweep_01.s2p,4650067500.0,-13.6439,-5.3741,13.6439,39.268
sweep_01.s2p,4680066000.0,-14.2821,-4.1444,14.2821,37.1226
sweep_01.s2p,4710064500.0,-14.1711,-4.3398,14.1711,35.5408
sweep_01.s2p,4740063000.0,-14.3426,-4.7464,14.3426,32.9908
sweep_01.s2p,4770061500.0,-15.2425,-4.2794,15.2425,28.887
sweep_01.s2p,4800060000.0,-15.4326,-4.5774,15.4326,33.1248
sweep_01.s2p,4830058500.0,-15.7252,-5.0919,15.7252,47.974
sweep_01.s2p,4860057000.0,-16.5795,-4.3253,16.5795,64.9443
sweep_01.s2p,4890055500.0,-16.2527,-4.2547,16.2527,75.4708
sweep_01.s2p,4920054000.0,-15.3536,-5.0677,15.3536,81.5733
sweep_01.s2p,4950052500.0,-15.6889,-4.3806,15.6889,92.1184
sweep_01.s2p,4980051000.0,-15.7799,-3.8999,15.7799,100.427
sweep_01.s2p,5010049500.0,-15.173,-4.5346,15.173,106.6702
sweep_01.s2p,5040048000.0,-15.4741,-4.5935,15.4741,120.1108
sweep_01.s2p,5070046500.0,-16.3867,-4.0563,16.3867,137.8741
sweep_01.s2p,5100045000.0,-16.9135,-4.4528,16.9135,136.5511
sweep_01.s2p,5130043500.0,-18.1401,-4.9097,18.1401,84.0026
sweep_01.s2p,5160042000.0,-19.4418,-4.7619,19.4418,49.1342
sweep_01.s2p,5190040500.0,-19.6705,-5.2675,19.6705,38.1707
sweep_01.s2p,5220039000.0,-20.1055,-5.8344,20.1055,28.7068
sweep_01.s2p,5250037500.0,-20.1415,-5.8443,20.1415,22.6343
sweep_01.s2p,5280036000.0,-18.8192,-6.4056,18.8192,21.917
sweep_01.s2p,5310034500.0,-17.6477,-8.0887,17.6477,24.2886
sweep_01.s2p,5340033000.0,-17.6166,-8.1155,17.6166,24.6497
sweep_01.s2p,5370031500.0,-17.7012,-7.3912,17.7012,23.6561
sweep_01.s2p,5400030000.0,-18.3128,-7.7666,18.3128,23.4958
sweep_01.s2p,5430028500.0,-20.2219,-7.3772,20.2219,22.7734
sweep_01.s2p,5460027000.0,-21.5702,-6.959,21.5702,21.8884
sweep_01.s2p,5490025500.0,-22.1018,-7.4475,22.1018,21.4961
sweep_01.s2p,5520024000.0,-22.5947,-7.6853,22.5947,20.436
sweep_01.s2p,5550022500.0,-21.9455,-7.1762,21.9455,19.2717
sweep_01.s2p,5580021000.0,-20.269,-7.2843,20.269,22.2399
sweep_01.s2p,5610019500.0,-19.3459,-7.7062,19.3459,28.0806
sweep_01.s2p,5640018000.0,-19.056,-7.2688,19.056,31.1972
sweep_01.s2p,5670016500.0,-18.0907,-6.9544,18.0907,34.9671
sweep_01.s2p,5700015000.0,-17.2953,-7.599,17.2953,43.5046
sweep_01.s2p,5730013500.0,-17.223,-8.4947,17.223,57.0158
sweep_01.s2p,5760012000.0,-17.2195,-8.6738,17.2195,74.1952
sweep_01.s2p,5790010500.0,-17.5028,-9.0276,17.5028,96.921
sweep_01.s2p,5820009000.0,-18.1659,-9.6026,18.1659,126.1352
sweep_01.s2p,5850007500.0,-18.7954,-9.7236,18.7954,147.0911
sweep_01.s2p,5880006000.0,-19.6401,-9.9652,19.6401,133.9056
sweep_01.s2p,5910004500.0,-20.6631,-10.8381,20.6631,107.1993
sweep_01.s2p,5940003000.0,-20.5289,-11.2025,20.5289,89.1129
sweep_01.s2p,5970001500.0,-19.5619,-11.1761,19.5619,77.1612
sweep_01.s2p,6000000000.0,-18.8268,-12.1729,18.8268,64.6641
